#meleeweapons																												
Id		Categories	TechLevel	Price	Weight	InventoryWidthSize	ItemClass	WeaponClass	WeaponSubClass	IsImplicit	RequiredAmmo	OverrideAmmo	DefaultAmmoId	Damage	Firemodes	MagazineCapacity	ReloadDuration	ReloadOneClip	DurabilityLossOnThrow	ThrowRange	MeleeCanAmputate	MaxDurability	MinDurabilityAfterRepair	Unbreakable	RepairCategory			
miner_knife_1		Miner Common Worker CResistance UnchainedBelt	1	100	0.1	2	Weapon	Knife	Default	false			implicted_knife	3 7 crit 1.5	knife_single knife_triple	0	1	false	1	5	true	100	0	false	melee
common_knife_1		Military Police Common Medical Science CResistance UnchainedBelt SheduThousand	1	100	0.35	2	Weapon	Knife	Default	false			implicted_knife	4 8 crit 1.5	knife_single knife_triple	0	1	false	1	5	true	100	0	false	melee
military_knife_1		Managment Military Police CResistance UnchainedBelt SheduThousand	2	200	0.6	2	Weapon	Knife	Default	false			implicted_knife	5 9 crit 1.5	knife_single knife_triple	0	1	false	1	5	true	100	0	false	melee
venus_axe_1		Tezctlan XiomaraMasks	1	400	6	2	Weapon	Axe	Default	false			implicted_heavy_axe	19 31 crit 1.2	axe_single axe_heavy	0	1	false	1	5	true	100	0	false	venus_weapon
venus_poleaxe_1		Tezctlan	2	400	6.25	2	Weapon	Axe	Default	false			implicted_heavy_axe	20 32 crit 1.2	axe_single axe_heavy	0	1	false	1	5	true	100	0	false	venus_weapon
venus_mace_1		Tezctlan XiomaraMasks	1	200	4	2	Weapon	Club	Default	false			implicted_club	12 24 crit 1.3	blunt_single blunt_duble	0	1	false	1	5	false	100	0	false	venus_weapon
venus_club_1		Tezctlan XiomaraMasks	1	200	4.25	2	Weapon	Club	Default	false			implicted_club	13 25 crit 1.3	blunt_single blunt_duble	0	1	false	1	5	false	100	0	false	venus_weapon
worker_crowbar_1		Common Worker Miner UnchainedBelt	1	200	2	2	Weapon	Club	Tool	false			implicted_club	10 20 crit 1.3	blunt_single blunt_duble	0	1	false	1	5	false	100	0	false	melee
worker_wrench_1		Common Worker Miner UnchainedBelt	1	200	2.25	2	Weapon	Club	Tool	false			implicted_club	11 21 crit 1.3	blunt_single blunt_duble	0	1	false	1	5	false	100	0	false	melee
venus_knife_1		Tezctlan XiomaraMasks	1	200	0.2	2	Weapon	Knife	Default	false			implicted_knife	3 8 crit 1.5	knife_single knife_triple	0	1	false	1	5	true	100	0	false	venus_weapon
venus_battlefist_1		Tezctlan XiomaraMasks	3	600	0.2	2	Weapon	Fist	Default	false			implicted_combat_knife	1 6 crit 2	blunt_single blunt_duble	0	1	false	1	0	true	100	0	false	venus_weapon
spider_claw		Tezctlan XiomaraMasks	1	20	0.1	2	Weapon	Knife	Default	false			implicted_knife	3 9 crit 1.7	knife_single	0	1	false	1	5	true	99	0	false	nothing
bone_knife		Tezctlan XiomaraMasks Possesed Prison	1	10	0.1	2	Weapon	Knife	Default	false			implicted_knife	3 7 crit 1.5	knife_single knife_triple	0	1	false	1	5	true	100	0	false	nothing
trash_knife_1		Possesed Prison Common	1	10	0.35	1	Weapon	Knife	Default	false			implicted_knife	4 8 crit 1.5	knife_single knife_triple	0	1	false	1	5	true	100	0	false	nothing
trash_club_1		Possesed Prison UnchainedBelt	1	20	2	2	Weapon	Club	Default	false			implicted_club	10 20 crit 1.3	blunt_single blunt_duble	0	1	false	1	5	true	100	0	false	melee
police_club_1		Police Military SheduThousand	1	100	2.25	2	Weapon	Club	Default	false			implicted_club	11 21 crit 1.3	blunt_single blunt_duble	0	1	false	1	5	false	100	0	false	melee
trash_axe_1		Possesed UnchainedBelt CResistance	1	100	3	2	Weapon	Axe	Default	false			implicted_heavy_axe	16 26 crit 1.2	axe_single axe_heavy	0	1	false	1	5	true	100	0	false	melee
prison_axe_1		Possesed Miner UnchainedBelt Prison CResistance	1	100	3.25	2	Weapon	Axe	Default	false			implicted_heavy_axe	17 27 crit 1.2	axe_single axe_heavy	0	1	false	1	5	true	100	0	false	melee
common_axe_1		Common Worker Miner CResistance UnchainedBelt SheduThousand	1	200	3.5	2	Weapon	Axe	Default	false			implicted_heavy_axe	18 28 crit 1.2	axe_single axe_heavy	0	1	false	1	5	true	100	0	false	melee
military_axe_1		RealWare Military Managment SheduThousand	3	400	3.75	2	Weapon	Axe	Default	false			implicted_heavy_axe	19 29 crit 1.2	axe_single axe_heavy	0	1	false	1	5	true	100	0	false	melee
trash_fist_1		Prison Common UnchainedBelt	1	20	0.1	1	Weapon	Fist	Default	false			implicted_club	1 5 crit 2	blunt_single blunt_duble	0	1	false	1	0	false	100	0	false	melee
human_hand		Possesed	1	20	2	2	Weapon	Club	Default	false			implicted_body_part	10 20 crit 1.3	blunt_single blunt_duble	0	1	false	1	5	false	100	0	false	nothing
human_leg		Possesed	1	20	2.25	2	Weapon	Club	Default	false			implicted_body_part	11 21 crit 1.3	blunt_single blunt_duble	0	1	false	1	5	false	100	0	false	nothing
trash_pipe_1		Possesed Prison Worker Common CResistance UnchainedBelt	1	20	2.5	2	Weapon	Club	Default	false			implicted_body_part	12 22 crit 1.3	blunt_single blunt_duble	0	1	false	1	5	false	100	0	false	nothing
moon_maul_1		Moon	1	200	4	2	Weapon	Club	Default	false			implicted_club	12 24 crit 1.3	blunt_single blunt_duble	0	1	false	1	5	false	100	0	false	moon_weapon
moon_mace_1		Moon	1	800	4.25	2	Weapon	Club	Default	false			implicted_club	13 25 crit 1.3	blunt_single blunt_duble	0	1	false	1	5	false	100	0	false	moon_weapon
trash_blade_1		Possesed UnchainedBelt Common Prison CResistance UnchainedBelt SheduThousand	1	200	2	2	Weapon	Blade	Default	false			implicted_katana	11 23 crit 1.4	blade_single	0	1	false	1	0	true	99	0	false	melee
moon_axe_1		Moon	1	400	6	2	Weapon	Axe	Default	false			implicted_heavy_axe	19 31 crit 1.2	axe_single axe_heavy	0	1	false	1	5	true	100	0	false	moon_weapon
tech_blade_1		Managment AnCom Military Medical Science SheduThousand	3	400	2	2	Weapon	Blade	Default	false			implicted_katana	10 20 crit 1.3	blade_single blade_double	0	1	false	1	0	true	100	0	false	melee
moon_blade_1		Moon	1	800	4	2	Weapon	Blade	Default	false			implicted_katana	13 27 crit 1.4	blade_single	0	1	false	1	0	true	99	0	false	moon_weapon
military_shovel_1		Miner RealWare CoreWard CResistance	1	200	3	2	Weapon	Axe	Tool	false			implicted_heavy_axe	16 26 crit 1.2	axe_single axe_heavy	0	1	false	1	5	true	100	0	false	melee
moon_fist_1		Moon	1	20	0.2	2	Weapon	Fist	Default	false			implicted_club	1 6 crit 2	blunt_single blunt_duble	0	1	false	1	0	false	100	0	false	moon_weapon
scrivnus_blade_1		Scrivnus	1	800	2	2	Weapon	Blade	Default	false			implicted_katana	10 20 crit 1.3	blade_single blade_double	0	1	false	1	0	true	100	0	false	nothing
mercury_blade_1		Mercury	1	200	4	2	Weapon	Blade	Default	false			implicted_katana	13 27 crit 1.4	blade_single	0	1	false	1	0	true	99	0	false	mercury_weapon
mercury_sickle_1		Mercury	1	200	0.2	2	Weapon	Knife	Default	false			implicted_combat_knife	3 10 crit 1.7	knife_single	0	1	false	1	5	true	99	0	false	mercury_weapon
fra_police_club_1		FrancheComte	1	400	2	2	Weapon	Club	Electric	false	BatteryCells	implicted_shockclub	battery_basic_ammo	10 20 crit 1.3	blunt_ammo_single blunt_ammo_duble	6	1	false	1	5	false	90	0	false	tech_weapon
miner_breaker_1		Worker Miner	2	300	5	2	Weapon	Fist	Tool	false	Gas	implicted_club	gas_ammo	5 15 crit 1.25	blunt_breaker	20	6	false	1	0	false	90	0	false	engineering_weapon
trash_sawblade_1		Possesed CResistance UnchainedBelt Worker Miner	1	600	4	2	Weapon	Chainsaw	Default	false	Gas	implicted_sawblade	gas_ammo	16 26 crit 1.5	sawsword_single sawsword_heavy	10	6	false	1	0	true	45	0	false	engineering_weapon
civ_powerfist_1		CResistance	1	400	0.4	2	Weapon	Fist	Default	false	BatteryCells	implicted_club	battery_crafted_ammo	7 17 crit 1.35	blunt_ammo_single blunt_ammo_triple	10	6	false	1	0	false	90	0	false	tech_weapon
#end																												
																												
#rangeweapons																												
Id		Categories	TechLevel	Price	Weight	InventoryWidthSize	ItemClass	WeaponClass	WeaponSubClass	IsImplicit	RequiredAmmo	OverrideAmmo	DefaultAmmoId	DefaultGrenadeId	Damage	Firemodes	Range	MagazineCapacity	MinRandomAmmoCount	ReloadDuration	SilencerShotChance	ReloadOneClip	MaxDurability	MinDurabilityAfterRepair	Unbreakable	RepairCategory	AllowedGrenadeIds	IsSelfCharge
mars_headgun		none	1	100	6	2	Weapon	AssaultRifle	Quasi	true			implicted_plasma_shrapnel		23 23 crit 1.6	basic_rifle_single basic_rifle_burst	6	20	12	12	0	false	75	0	true	firearms_weapon		false
dil_shock_sniper_1		Dilthey	9	2200	3	2	Weapon	MarksmanRifle	Electric	false	BatteryCells	implicted_shockgun	dil_battery_ammo		16 32 crit 1.75	advanced_rifle_single	9	6	5	12	0.15	false	121	0	false	tech_weapon		false
plasma_shotgun_2		ChurchRevelation	5	800	3	2	Weapon	Shotgun	Plasma	false	BatteryCells	implicted_plasma_shrapnel	battery_basic_ammo		7 32 crit 1.5	basic_energy_shotgun_single basic_energy_shotgun_burst	3	16	6	12	0	false	100	0	false	tech_weapon		false
common_shotgun_1		Common Police Managment CResistance UnchainedBelt FrancheComte	1	200	3	2	Weapon	Shotgun	Firearm	false	Shells		shotgun_shrapnel_ammo		12 48 crit 1.6	basic_shotgun_single	6	8	4	5	0	true	165	0	false	firearms_weapon		false
trash_shotgun_1		Common Prison Worker Miner CResistance UnchainedBelt	1	200	3.6	2	Weapon	Shotgun	Firearm	false	Shells		shotgun_shrapnel_ammo		13 49 crit 1.6	basic_shotgun_single	6	8	3	5	0	true	165	0	false	firearms_weapon		false
common_shotgun_2		Common Police Managment CResistance UnchainedBelt FrancheComte	2	400	4.2	2	Weapon	Shotgun	Firearm	false	Shells		shotgun_shrapnel_ammo		14 49 crit 1.6	basic_shotgun_single	6	8	6	5	0	true	165	0	false	firearms_weapon		false
grh_revolver_pistol_1		Grasshopper	2	600	0.55	2	Weapon	Pistol	Firearm	false	Heavy		rifle_basic_ammo		7 24 crit 1.65	basic_rifle_single basic_rifle_burst	5	6	2	2	0	true	143	0	false	firearms_weapon		false
sbn_rail_shotgun_1		SBN	4	1000	6	2	Weapon	Shotgun	Rail	false			implicted_em_ammo		25 25 crit 1.5	basic_shotgun_single basic_shotgun_burst	3	16	0	12	0.9	true	50	0	false	rail_weapon		false
rail_marksman_1		PlanetBridge Medical	4	1400	6	2	Weapon	MarksmanRifle	Rail	false			implicted_em_ammo		30 30 crit 1.75	advanced_rifle_single	9	6	0	12	0.9	true	61	0	false	rail_weapon		false
trucker_marksman_2		Military Managment Police ChurchRevelation	2	800	3	2	Weapon	MarksmanRifle	Firearm	false	Heavy		rifle_basic_ammo		17 34 crit 1.65	advanced_rifle_single advanced_rifle_burst	8	3	2	5	0	true	200	0	false	firearms_weapon		false
grh_trucker_marksman_2		Grasshopper	4	1200	3.96	2	Weapon	MarksmanRifle	Firearm	false	Heavy		rifle_basic_ammo		16 33 crit 1.65	advanced_rifle_single advanced_rifle_burst	9	3	3	4	0	true	190	0	false	firearms_weapon		false
trucker_pistol_1		Managment ChurchRevelation Grasshopper	1	100	0.5	2	Weapon	Pistol	Firearm	false	Heavy		rifle_basic_ammo		11 31 crit 1.75	basic_rifle_single	6	6	3	3	0	true	150	0	false	firearms_weapon		false
trucker_pistol_2		Managment ChurchRevelation Grasshopper	2	200	1.1	2	Weapon	Pistol	Firearm	false	Heavy		rifle_basic_ammo		12 32 crit 1.75	basic_rifle_single	6	6	3	3	0	true	150	0	false	firearms_weapon		false
trucker_pistol_3		Managment ChurchRevelation Grasshopper	3	400	1.7	2	Weapon	Pistol	Firearm	false	Heavy		rifle_basic_ammo		13 32 crit 1.75	basic_rifle_single	6	6	3	3	0	true	150	0	false	firearms_weapon		false
chu_trucker_pistol_1		ChurchRevelation	4	600	2.3000002	2	Weapon	Pistol	Firearm	false	Heavy		rifle_basic_ammo		14 32 crit 1.9	basic_rifle_single	6	6	4	3	0	true	143	0	false	firearms_weapon		false
chu_trucker_pistol_2		ChurchRevelation	5	600	2.9	2	Weapon	Pistol	Firearm	false	Heavy		rifle_basic_ammo		15 32 crit 1.9	basic_rifle_single	6	6	2	3	0	true	143	0	false	firearms_weapon		false
sun_laser_shotgun_1		Sunlight	5	1000	3	2	Weapon	Shotgun	Laser	false	BatteryCells	implicted_energy_shrapnel	battery_basic_ammo		5 31 crit 1.5	basic_energy_shotgun_single basic_energy_shotgun_burst	3	19	8	12	0	false	100	0	false	laser_weapon		false
anc_quasi_assault_1		AnCom	6	2000	3	2	Weapon	AssaultRifle	Quasi	false	QuasiCells	implicted_shockgun	quasi_basic_ammo		12 24 crit 1.6	basic_rifle_single basic_rifle_burst	6	20	8	12	0	false	90	0	false	tech_weapon		false
dil_shock_smg_1		Dilthey	3	800	3	2	Weapon	Smg	Electric	false	BatteryCells	implicted_shockgun	dil_battery_ammo		9 19 crit 1.45	basic_smg_shortauto basic_smg_auto	4	16	8	12	0	false	90	0	false	tech_weapon		false
venus_hand		none	1	100	20	2	Weapon	Machinegun	Quasi	true			implicted_xiomara_range		23 23 crit 1.6	basic_machinegun_shortauto	6	60	9	16	0	false	99	0	true	firearms_weapon		false
fra_shock_pistol_1		FrancheComte	3	400	0.25	2	Weapon	Pistol	Electric	false	BatteryCells	implicted_shockgun	battery_basic_ammo		8 24 crit 1.75	basic_rifle_single	4	12	4	8	0	false	90	0	false	tech_weapon		false
civ_marksman_1		CResistance	5	1200	3	2	Weapon	MarksmanRifle	Firearm	false	Medium		medium_basic_ammo		17 34 crit 1.65	advanced_rifle_single advanced_rifle_burst	7	9	5	13	0	false	200	0	false	firearms_weapon		false
anc_marksman_1		AnCom	7	1400	3.6	2	Weapon	MarksmanRifle	Firearm	false	Medium		medium_basic_ammo		18 35 crit 1.8	advanced_rifle_single advanced_rifle_burst	7	6	3	12	0	false	190	0	false	firearms_weapon		false
cor_worker_pistol_1		Worker Miner CoreWard	1	400	0.5	2	Weapon	Pistol	Rail	false	Bolts		nail_bolts_ammo		9 26 crit 1.35	basic_rifle_single basic_rifle_burst	3	12	10	8	0.9	false	165	0	false	engineering_weapon		false
rail_pistol_1		Medical Managment PlanetBridge	1	200	1	2	Weapon	Pistol	Rail	false			implicted_em_ammo		21 21 crit 1.75	basic_rifle_single	5	12	0	8	0.9	true	45	0	false	rail_weapon		false
